class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,2.090811305,3.388,1.62,1718.04,1642.0,5739.0,1.384
1,3.180027898,3.5797,1.53,1066.86,1458.0,5847.0,1.402
1,50.4467417,7.159,2.67,24.64,568.0,5739.0,1.384
1,11.76307164,2.9076,2.35,33.99,616.0,4959.0,0.756
0,2.384052875,3.0918,17.06,244.87,1010.0,4794.0,0.701
1,7.953547,2.6312,2.25,55.37,696.0,4768.0,0.779
1,4.14451656,2.3421,1.48,132.08,864.0,4768.0,0.779
0,4.859386384,2.2757,38.33,364.23,1114.0,6072.0,0.988
1,3.76181843,3.5176,2.66,372.62,1121.0,5653.0,0.949
1,8.20396958,2.9667,3.01,71.5,742.0,5015.0,0.826
1,14.49645186,4.016,3.01,33.48,613.0,5015.0,0.826
1,6.54626149,2.75,2.19,101.78,810.0,5251.0,0.817
1,12.71809866,3.0957,2.31,23.6,562.0,4702.0,0.686
1,36.06588163,4.3246,2.64,5.88,397.0,4702.0,0.686
1,3.709870784,3.0694,4.35,415.1,1151.0,5727.0,0.978
1,16.3297527,6.271,3.75,66.08,727.0,5878.0,0.987
1,27.80756622,4.21587,13.84,22.24,554.0,5862.0,0.785
1,80.8723469,11.195,7.59,9.88,452.0,5510.0,1.238
0,3.166465862,2.9381,26.82,196.31,954.0,4968.0,0.704
1,24.99324319,5.9409,2.29,60.88,712.0,5718.0,1.317
1,10.35533116,3.1775,2.47,86.22,777.0,5501.0,0.918
1,16.08518937,3.984,3.68,33.43,613.0,5239.0,0.826
1,235.9986399,8.2284,10.59,0.29,188.0,4245.0,0.657
1,41.40831669,5.0264,11.38,9.93,453.0,5522.0,0.747
1,39.74893077,7.3051,14.21,21.87,552.0,6122.0,0.964
1,49.18394185,11.3364,8.2,47.4,669.0,5626.0,2.057
1,20.0261412,1.611,2.28,23.14,559.0,5237.0,0.826
1,2.237489571,1.8119,1.41,427.17,1160.0,5265.0,0.81
0,5.851520671,3.11058,14.62,155.89,901.0,5532.0,0.806
1,20.0504494,4.556,2.69,35.44,622.0,5527.0,0.927
1,9.76734503,1.6585,2.67,92.46,791.0,5527.0,0.927
0,2.861159894,1.8832,4.37,797.1,1355.0,6126.0,1.021
1,26.44439337,3.9783,3.91,23.54,562.0,5427.0,0.929
1,5.902245782,2.9003,2.43,173.74,926.0,5427.0,0.929
1,2.382951591,1.8876,1.86,583.01,1253.0,5427.0,0.929
1,21.02250608,4.1072,3.07,17.48,521.0,5067.0,0.75
1,3.219814777,2.0642,1.69,234.93,998.0,5103.0,0.787
1,5.912273234,2.3254,1.73,27.72,585.0,4072.0,0.57
1,8.98581901,2.8606,1.65,15.9,509.0,4072.0,0.57
1,12.94066866,2.4845,22.94,64.64,723.0,5875.0,0.809
1,33.60123371,4.4056,8.46,14.22,495.0,5149.0,0.93
1,6.76652928,2.9004,1.97,120.48,845.0,5149.0,0.93
1,4.347288783,2.1024,2.36,449.79,1174.0,5754.0,1.122
1,11.18719905,3.252,1.55,46.65,667.0,4986.0,0.833
1,4.220965778,3.0854,2.62,29.68,595.0,3837.0,0.517
0,6.998099523,2.0488,588.66,125.22,853.0,5612.0,0.829
1,5.95489993,2.3892,2.33,38.52,635.0,4261.0,0.633
1,12.03987488,2.7363,2.18,15.06,502.0,4261.0,0.633
1,20.83762895,2.3734,1.42,7.24,418.0,4261.0,0.633
0,8.8111022,5.0683,63.66,904.92,1399.0,6200.0,2.404
1,23.58917143,5.073,3.16,13.34,487.0,4919.0,0.721
1,6.481633073,3.784,2.54,406.25,1145.0,5945.0,1.302
1,3.96996298,1.1757,1.78,229.37,992.0,5121.0,0.888
1,4.40841331,5.012,2.66,398.0,1139.0,6007.0,0.961
0,7.9426176,6.703,4.68,140.57,878.0,5811.0,0.926
0,1.956811408,2.1958,21.58,357.16,1109.0,5209.0,0.603
1,3.336123113,1.9616,1.74,209.79,970.0,5097.0,0.779
1,12.07134205,4.3224,1.29,5.74,395.0,3713.0,0.47
1,20.99587872,2.6333,1.3,2.74,328.0,3713.0,0.47
1,7.41113177,2.5242,2.45,158.11,905.0,5849.0,0.919
0,1.000747038,0.9967,4.14,1635.2,1620.0,5472.0,0.79
1,8.884922995,2.07004,10.51,83.21,770.0,5332.0,0.843
1,8.09888906,4.20241,8.95,223.19,986.0,6214.0,1.076
1,10.00653012,5.344,3.52,139.21,876.0,6063.0,1.001
1,17.85522168,7.41287,13.16,163.04,911.0,6823.0,1.367
1,83.92494032,6.7904,4.78,0.62,226.0,3960.0,0.509
1,5.007316661,4.2362,6.96,234.28,998.0,5865.0,0.827
1,2.211116989,1.6485,1.85,177.19,931.0,4500.0,0.646
1,27.9541337,3.95,1.9,6.04,400.0,4500.0,0.646
1,12.69104387,3.7727,2.57,244.3,1008.0,5869.0,1.626
0,4.409409243,3.8636,10.95,347.06,1101.0,5600.0,0.975
1,16.23947096,4.0374,4.14,30.14,598.0,5191.0,0.837
1,6.308201629,2.9785,2.96,106.44,819.0,5191.0,0.837
1,2.052349884,2.0778,13.12,1183.18,1497.0,5855.0,1.08
1,9.7704486,2.4517,2.23,10.59,460.0,3906.0,0.509
1,5.169804269,2.153,1.66,24.75,569.0,3906.0,0.509
1,21.22261195,6.5093,2.48,83.56,771.0,5945.0,1.302
1,20.09017037,4.154,2.25,4.05,362.0,3906.0,0.509
1,7.11373257,2.1764,1.16,8.01,429.0,3561.0,0.411
1,15.36845737,2.4714,1.11,2.86,332.0,3561.0,0.411
1,105.145959,8.593,3.43,6.09,401.0,6077.0,0.999
1,10.8484518,2.9993,2.34,14.66,499.0,4201.0,0.591
