class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
0,3.341913228,3.813,725.0,21.55,1032.0,268.67,5295.0,0.811
0,1.626630225,2.1145,1620.0,32.43,1547.0,1355.88,5735.0,0.973
1,2.711504086,3.0099,838.0,3.12,1420.0,960.79,6214.0,1.076
1,7.21203748,4.0491,950.0,3.32,1025.0,260.58,6214.0,1.076
0,14.1798187,2.505,460.0,1.88,711.0,60.35,5799.0,0.878
1,8.47237911,2.7245,1120.0,2.59,751.0,75.44,5354.0,0.788
1,60.4189369,5.039,931.0,2.36,390.0,5.49,5354.0,0.788
1,12.61190435,5.1497,6110.0,7.4,753.0,76.15,5795.0,0.919
0,1.433769925,1.8868,1980.0,46.58,1920.0,3209.29,6017.0,1.339
0,10.31872301,3.836,872.0,28.59,876.0,139.26,5927.0,1.06
1,2.539183147,2.4282,382.0,2.06,1332.0,743.09,5519.0,1.062
1,6.770300385,2.0844,1300.0,2.77,812.0,102.87,5653.0,0.679
0,0.444291966,2.0792,11000.0,27.51,1836.0,2706.26,5255.0,0.636
1,10.181584,3.5089,5740.0,7.73,812.0,102.91,5988.0,0.836
1,20.06036336,3.3203,1490.0,1.96,361.0,4.0,3950.0,0.493
1,46.1842039,4.758,1390.0,1.83,273.0,1.32,3950.0,0.493
1,23.9800854,5.351,104.0,1.31,649.0,41.94,5854.0,1.012
1,7.82502168,2.186,521.0,1.2,494.0,14.05,3950.0,0.493
1,3.895936525,2.3111,8540.0,7.34,1005.0,241.62,5557.0,0.774
1,22.36646466,5.228,987.0,2.32,536.0,19.45,5395.0,0.734
1,1.625522174,2.38963,7970.0,9.73,1579.0,1467.41,5539.0,1.106
1,19.62034692,2.0038,21700.0,13.6,643.0,40.39,5710.0,0.905
0,7.544039,6.222,323.0,17.47,838.0,116.46,5657.0,0.824
1,9.02930689,3.1449,1020.0,2.57,757.0,77.75,5349.0,0.82
0,10.32803571,7.7915,16900.0,13.28,843.0,119.31,5627.0,1.024
1,143.2063047,8.9302,10600.0,8.9,308.0,2.14,5485.0,0.867
1,6.164876,3.262,55.8,0.79,1021.0,256.35,5854.0,1.012
1,60.32494216,6.6188,20300.0,12.19,411.0,6.77,5485.0,0.867
1,29.1598615,4.803,488.0,1.91,524.0,17.85,5485.0,0.867
0,1.540397253,2.1541,816.0,25.69,1470.0,1105.68,5663.0,0.915
0,2.99025443,5.414,589.0,1.7,918.0,168.45,4667.0,0.731
1,1.594745374,1.9604,15000.0,11.3,1539.0,1329.42,5934.0,0.893
1,4.783002698,2.335,1010.0,2.5,886.0,145.48,5170.0,0.807
1,20.50588921,4.0595,2110.0,3.41,518.0,17.06,4905.0,0.761
1,3.340218842,1.9104,1630.0,2.03,656.0,43.73,3950.0,0.493
0,2.507089906,2.0067,1340.0,30.26,1326.0,730.47,5926.0,0.939
1,18.64932728,4.4056,894.0,3.12,701.0,57.13,5775.0,1.053
1,4.90144976,4.1654,141.0,1.7,1262.0,598.74,5847.0,1.402
1,9.75192101,4.793,418.0,2.76,870.0,135.66,5775.0,1.053
1,38.5576546,5.794,993.0,4.02,550.0,21.71,5775.0,1.053
1,3.525632539,2.59959,22300.0,11.58,975.0,213.12,5150.0,0.793
1,34.84398644,2.9315,4520.0,7.61,511.0,16.1,5509.0,0.871
1,7.748094239,3.5957,2470.0,5.52,964.0,204.39,5973.0,1.085
1,23.96793669,3.827,1180.0,1.8,329.0,2.77,3747.0,0.524
1,8.29561738,1.3421,824.0,1.82,469.0,11.39,3747.0,0.524
1,8.11437482,2.2736,1560.0,2.1,460.0,10.55,3692.0,0.517
0,38.03672948,4.34617,82900.0,27.5,500.0,14.81,5575.0,0.932
1,4.64090031,35.512,2450.0,30.09,1155.0,421.08,6463.0,0.826
0,3.747838198,5.0642,616.0,13.65,1031.0,266.76,5514.0,0.826
1,14.74914825,6.0995,430.0,2.89,874.0,137.91,5847.0,1.402
1,21.81295996,4.3791,1180.0,3.38,639.0,39.33,5601.0,0.999
0,7.91936937,3.3148,15100.0,10.34,814.0,104.0,5690.0,0.776
1,1.028436523,1.8606,8100.0,72.77,1947.0,3400.48,6228.0,0.99
1,15.37562369,3.3169,15300.0,11.01,600.0,30.54,4986.0,0.833
1,8.10363271,3.161,888.0,2.11,687.0,52.82,4861.0,0.732
1,4.71510843,2.506,418.0,1.46,823.0,108.84,4861.0,0.732
1,6.365839713,2.9721,781.0,2.44,914.0,165.33,5776.0,0.849
0,5.97581754,3.065,962.0,3.86,1047.0,284.25,6108.0,0.997
0,2.446737317,4.7211,1180.0,26.25,1261.0,597.19,5764.0,0.863
1,3.04033046,1.8411,10900.0,8.99,1021.0,257.29,5035.0,0.791
1,15.33528675,3.897,3080.0,5.0,610.0,32.67,5251.0,0.817
1,7.95825328,4.377,50.0,1.06,1074.0,314.15,5847.0,1.402
1,31.33046135,5.176,5070.0,6.5,481.0,12.61,5251.0,0.817
0,3.9043425,3.831,16200.0,12.28,1104.0,351.05,5810.0,0.898
0,9.286358079,3.49949,44800.0,17.61,796.0,95.03,5670.0,0.821
0,3.951405455,2.1862,2450.0,31.44,1133.0,388.71,6046.0,0.869
1,23.65369415,8.2183,3340.0,7.89,731.0,67.65,5739.0,1.384
1,13.23352214,6.7372,505.0,3.06,888.0,146.67,5739.0,1.384
1,6.15560285,4.9843,285.0,2.32,1146.0,406.94,5739.0,1.384
1,2.090811305,3.388,116.0,1.62,1642.0,1718.04,5739.0,1.384
1,3.180027898,3.5797,120.0,1.53,1458.0,1066.86,5847.0,1.402
1,50.4467417,7.159,370.0,2.67,568.0,24.64,5739.0,1.384
1,11.76307164,2.9076,1040.0,2.35,616.0,33.99,4959.0,0.756
1,56.2279271,3.57,863.0,2.37,366.0,4.22,4959.0,0.756
0,2.384052875,3.0918,1270.0,17.06,1010.0,244.87,4794.0,0.701
1,7.953547,2.6312,875.0,2.25,696.0,55.37,4768.0,0.779
1,4.14451656,2.3421,392.0,1.48,864.0,132.08,4768.0,0.779
0,4.859386384,2.2757,6040.0,38.33,1114.0,364.23,6072.0,0.988
1,10.52629458,2.5211,9770.0,8.24,713.0,61.16,5386.0,0.793
1,4.583520948,2.7055,3810.0,5.39,1038.0,274.98,5815.0,0.877
1,3.76181843,3.5176,511.0,2.66,1121.0,372.62,5653.0,0.949
1,8.20396958,2.9667,1020.0,3.01,742.0,71.5,5015.0,0.826
1,14.49645186,4.016,648.0,3.01,613.0,33.48,5015.0,0.826
1,6.54626149,2.75,656.0,2.19,810.0,101.78,5251.0,0.817
1,12.71809866,3.0957,1150.0,2.31,562.0,23.6,4702.0,0.686
1,36.06588163,4.3246,1560.0,2.64,397.0,5.88,4702.0,0.686
1,4.190425659,2.8589,2880.0,6.21,1234.0,547.9,6073.0,1.135
1,3.709870784,3.0694,2020.0,4.35,1151.0,415.1,5727.0,0.978
1,16.3297527,6.271,1190.0,3.75,727.0,66.08,5878.0,0.987
1,27.80756622,4.21587,25400.0,13.84,554.0,22.24,5862.0,0.785
1,80.8723469,11.195,3600.0,7.59,452.0,9.88,5510.0,1.238
0,3.166465862,2.9381,4360.0,26.82,954.0,196.31,4968.0,0.704
1,24.99324319,5.9409,270.0,2.29,712.0,60.88,5718.0,1.317
1,10.35533116,3.1775,751.0,2.47,777.0,86.22,5501.0,0.918
1,16.08518937,3.984,1440.0,3.68,613.0,33.43,5239.0,0.826
1,235.9986399,8.2284,20700.0,10.59,188.0,0.29,4245.0,0.657
1,7.49018305,2.7297,1120.0,2.56,753.0,76.06,5103.0,0.787
1,36.2761238,4.7865,1570.0,3.03,445.0,9.29,5103.0,0.787
1,17.46087931,2.2641,812.0,2.32,568.0,24.6,5103.0,0.787
1,56.0560754,4.685,1630.0,1.94,233.0,0.69,3593.0,0.491
1,41.40831669,5.0264,22800.0,11.38,453.0,9.93,5522.0,0.747
1,39.74893077,7.3051,15200.0,14.21,552.0,21.87,6122.0,0.964
1,5.715425977,2.5242,908.0,2.47,850.0,123.03,5237.0,0.826
1,49.18394185,11.3364,1650.0,8.2,669.0,47.4,5626.0,2.057
1,20.0261412,1.611,421.0,2.28,559.0,23.14,5237.0,0.826
1,13.61014819,2.594,5730.0,19.02,733.0,68.29,5697.0,0.903
0,10.44331991,2.743,1160.0,2.66,667.0,46.94,4947.0,0.802
1,2.237489571,1.8119,316.0,1.41,1160.0,427.17,5265.0,0.81
0,5.851520671,3.11058,33000.0,14.62,901.0,155.89,5532.0,0.806
1,3.167893418,2.1814,781.0,2.62,1221.0,526.23,5895.0,0.94
1,4.311780262,2.7251,1150.0,3.11,1038.0,274.84,5527.0,0.927
1,20.0504494,4.556,841.0,2.69,622.0,35.44,5527.0,0.927
1,9.76734503,1.6585,569.0,2.67,791.0,92.46,5527.0,0.927
1,119.0207044,8.1405,7430.0,8.98,366.0,4.25,5453.0,1.062
1,190.3200468,15.284,1140.0,7.78,426.0,7.8,5626.0,2.057
0,2.861159894,1.8832,1010.0,4.37,1355.0,797.1,6126.0,1.021
1,26.44439337,3.9783,1840.0,3.91,562.0,23.54,5427.0,0.929
1,51.53997972,6.3994,3640.0,5.51,450.0,9.67,5427.0,0.929
1,5.902245782,2.9003,702.0,2.43,926.0,173.74,5427.0,0.929
1,2.382951591,1.8876,392.0,1.86,1253.0,583.01,5427.0,0.929
1,21.02250608,4.1072,1770.0,3.07,521.0,17.48,5067.0,0.75
1,3.219814777,2.0642,488.0,1.69,998.0,234.93,5103.0,0.787
1,5.912273234,2.3254,961.0,1.73,585.0,27.72,4072.0,0.57
1,8.98581901,2.8606,881.0,1.65,509.0,15.9,4072.0,0.57
1,12.94066866,2.4845,42500.0,22.94,723.0,64.64,5875.0,0.809
0,20.5452375,2.517,219.0,2.41,742.0,71.57,5670.0,1.264
1,33.60123371,4.4056,7430.0,8.46,495.0,14.22,5149.0,0.93
1,6.76652928,2.9004,451.0,1.97,845.0,120.48,5149.0,0.93
1,4.347288783,2.1024,452.0,2.36,1174.0,449.79,5754.0,1.122
1,4.601811819,2.2607,756.0,2.35,896.0,152.91,4986.0,0.833
1,11.18719905,3.252,354.0,1.55,667.0,46.65,4986.0,0.833
1,4.220965778,3.0854,2260.0,2.62,595.0,29.68,3837.0,0.517
0,6.998099523,2.0488,20300.0,588.66,853.0,125.22,5612.0,0.829
1,5.95489993,2.3892,1410.0,2.33,635.0,38.52,4261.0,0.633
1,12.03987488,2.7363,1250.0,2.18,502.0,15.06,4261.0,0.633
1,20.83762895,2.3734,439.0,1.42,418.0,7.24,4261.0,0.633
0,8.8111022,5.0683,401.0,63.66,1399.0,904.92,6200.0,2.404
1,23.58917143,5.073,1200.0,3.16,487.0,13.34,4919.0,0.721
1,6.481633073,3.784,299.0,2.54,1145.0,406.25,5945.0,1.302
1,10.37168928,3.035,1250.0,3.2,720.0,63.68,5121.0,0.888
1,3.96996298,1.1757,299.0,1.78,992.0,229.37,5121.0,0.888
1,4.40841331,5.012,549.0,2.66,1139.0,398.0,6007.0,0.961
0,7.9426176,6.703,1590.0,4.68,878.0,140.57,5811.0,0.926
1,226.8904775,7.558,3140.0,4.53,236.0,0.73,5067.0,0.75
0,1.956811408,2.1958,24900.0,21.58,1109.0,357.16,5209.0,0.603
1,2.688899233,2.11275,37500.0,12.04,929.0,175.76,4820.0,0.639
1,9.439459486,2.8979,3040.0,4.16,686.0,52.32,5097.0,0.779
1,11.52306746,3.8757,507.0,3.13,927.0,174.81,5644.0,1.411
1,20.47748843,2.8364,1380.0,2.92,530.0,18.65,5097.0,0.779
1,3.336123113,1.9616,516.0,1.74,970.0,209.79,5097.0,0.779
1,8.01078456,2.312,1330.0,1.72,453.0,9.9,3713.0,0.47
1,12.07134205,4.3224,759.0,1.29,395.0,5.74,3713.0,0.47
1,20.99587872,2.6333,767.0,1.3,328.0,2.74,3713.0,0.47
1,7.41113177,2.5242,621.0,2.45,905.0,158.11,5849.0,0.919
0,1.000747038,0.9967,1820.0,4.14,1620.0,1635.2,5472.0,0.79
1,8.884922995,2.07004,16100.0,10.51,770.0,83.21,5332.0,0.843
1,8.09888906,4.20241,6910.0,8.95,986.0,223.19,6214.0,1.076
1,10.00653012,5.344,936.0,3.52,876.0,139.21,6063.0,1.001
1,17.85522168,7.41287,9070.0,13.16,911.0,163.04,6823.0,1.367
1,12.73262407,2.2083,6470.0,4.87,432.0,8.22,3950.0,0.541
1,83.92494032,6.7904,7960.0,4.78,226.0,0.62,3960.0,0.509
1,5.007316661,4.2362,6930.0,6.96,998.0,234.28,5865.0,0.827
1,2.211116989,1.6485,724.0,1.85,931.0,177.19,4500.0,0.646
1,27.9541337,3.95,943.0,1.9,400.0,6.04,4500.0,0.646
1,12.69104387,3.7727,252.0,2.57,1008.0,244.3,5869.0,1.626
0,4.409409243,3.8636,12900.0,10.95,1101.0,347.06,5600.0,0.975
1,16.23947096,4.0374,2590.0,4.14,598.0,30.14,5191.0,0.837
1,6.308201629,2.9785,1330.0,2.96,819.0,106.44,5191.0,0.837
1,2.052349884,2.0778,14300.0,13.12,1497.0,1183.18,5855.0,1.08
1,9.7704486,2.4517,1900.0,2.23,460.0,10.59,3906.0,0.509
1,5.169804269,2.153,1040.0,1.66,569.0,24.75,3906.0,0.509
1,21.22261195,6.5093,366.0,2.48,771.0,83.56,5945.0,1.302
1,20.09017037,4.154,1430.0,2.25,362.0,4.05,3906.0,0.509
1,7.11373257,2.1764,808.0,1.16,429.0,8.01,3561.0,0.411
1,3.306551643,1.8177,509.0,0.91,554.0,22.19,3561.0,0.411
1,15.36845737,2.4714,756.0,1.11,332.0,2.86,3561.0,0.411
1,13.81020318,3.048,1310.0,4.56,833.0,113.75,5942.0,1.142
1,4.093578461,2.5833,539.0,2.85,1182.0,461.07,6077.0,0.999
1,105.145959,8.593,685.0,3.43,401.0,6.09,6077.0,0.999
1,10.8484518,2.9993,1680.0,2.34,499.0,14.66,4201.0,0.591
1,6.66833241,1.915,362.0,1.18,587.0,28.06,4201.0,0.591
1,4.082274889,3.23015,17900.0,10.55,1016.0,251.48,5655.0,0.794
1,3.886655224,3.1646,582.0,1.87,1010.0,246.29,5662.0,0.738
1,42.1406089,5.083,896.0,1.85,349.0,3.49,4500.0,0.646
1,4.617490562,2.2618,576.0,1.62,728.0,66.47,4500.0,0.646
1,10.19849255,2.4283,634.0,1.75,559.0,23.11,4500.0,0.646
0,5.795063956,3.2496,1690.0,4.33,950.0,192.74,5865.0,0.827
1,7.15681552,2.5882,867.0,2.47,782.0,88.23,5029.0,0.838
1,17.64830851,2.0873,763.0,2.43,579.0,26.49,5029.0,0.838
1,4.14810719,2.535,175.0,1.08,938.0,182.76,5029.0,0.838
1,16.51410989,4.1575,974.0,2.72,655.0,43.57,5527.0,0.866
1,30.1329298,5.172,1020.0,3.14,536.0,19.55,5527.0,0.866
1,4.79090809,2.603,251.0,1.36,990.0,227.24,5527.0,0.866
1,31.71981013,4.819,363.0,3.09,743.0,71.97,5869.0,1.626
