class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
0,0.0526727624,0.03039,0.00164,0.001745,0.0521,0.6184,0.1038
0,0.00100652785,0.013175,0.00103,0.255697,0.1815,0.6089,0.0889
0,0.000566807422,0.05148,0.00113,1.222782,0.268,0.5616,0.1547
0,0.001507761203,0.03096,0.03177,0.067511,0.1301,0.5069,0.0818
1,0.001028436523,0.018606,0.07277,0.340048,0.1947,0.6228,0.099
1,0.0180071438,0.0540099999999999,0.00105,0.009625,0.0799,0.6173,0.1167
1,0.01903723442,0.0338819999999999,0.00574,0.028804,0.1051,0.5248,0.2892
1,0.0478420929999999,0.2947,0.0214401,0.00428772,0.1267,0.0624,0.106
0,0.003411758679,0.03158,0.01471,0.005185,0.0684,0.3995,0.0561
1,0.342825595,0.6989,0.0584591999999999,0.000418997,0.0708,0.061449999999999,0.119
1,0.00782502168,0.02186,0.0012,0.001405,0.0494,0.395,0.0493
1,0.02682814,0.0987,0.235198,0.00852855,0.1505,0.085279999999999,0.528
1,0.02530291816,0.044903,0.00395,0.001939,0.0535,0.5121,0.0888
1,0.073723906,0.78217079,0.048405988,0.0133192121,0.1540775568,0.0608299999999999,0.25524099
1,0.282029084,0.04686,0.00233,0.000412,0.0363,0.6886,0.1286999999999999
1,0.00516949729,0.045122,0.00206,0.069432,0.1309,0.6011,0.1409
0,0.000686994057,0.035252,0.0353,0.426713,0.2063,0.578,0.1
1,0.062948747,0.1878,0.0667951,9.34062e-05,0.0487,0.035839999999999,0.053
0,0.040266483,0.2312,0.0190189,0.00213735,0.1065,0.052765,0.078
1,0.017318529,0.16919639,0.120299493,0.000866365464,0.07781172307,0.03394,0.0615219
1,0.05830149,0.2618,0.0270504999999999,0.000597261,0.0774,0.04451,0.072
1,0.013484961,0.24074261,0.158824638,0.0270696062299999,0.1839671303999999,0.06346,0.114759
1,0.00425907841,0.0451299999999999,0.0007,0.058312,0.1253,0.556,0.1316
1,0.00375574267,0.022911,0.00158,0.021546,0.0977,0.5311,0.0788
1,0.018531628,0.2019,0.135946,0.00672909,0.1418,0.05355,0.068
1,0.0288672107,0.03782,0.00151,0.0014,0.0493,0.5191,0.0837
0,0.03159115876,0.026431,0.07291,0.008884,0.0783,0.5178,0.2294999999999999
1,0.033601377,0.1413245,0.011843718,0.000199261226,0.05388593825,0.03551,0.0374358
1,0.15634183,0.2888,0.11238,0.0002325359999999,0.0611,0.05725,0.096
0,0.00550811352,0.029516,0.03403,0.008657,0.0778,0.5188,0.0624
0,0.02536699067,0.059556,0.05602,0.004609,0.0665,0.6208,0.1024
1,0.055765364,0.23140477,0.045613031,0.006611949258,0.1293308487,0.0600218,0.152031
0,0.001360834768,0.014886,0.00724,0.179247,0.1659999999999999,0.6215,0.0872
1,0.03429078,0.1795,0.211656,0.00185229,0.1027,0.05654,0.185
1,0.005186737262,0.008023,0.0024,0.012937,0.086,0.523,0.0777
0,0.000933749106,0.04256,0.00322,1.582249,0.2863,0.6215,0.2188
0,0.31657747,0.1464,0.00147,0.000101,0.0255,0.5822,0.0898
1,0.0150571269999999,0.0243999999999999,0.121483,9.00759e-05,0.0482,0.04335,0.064
1,0.037260939,0.3119242299999999,0.135887921,0.004285861553,0.1160457619,0.0573599999999999,0.09975
1,0.00630558387,0.02619,0.00252,0.03789,0.1125,0.4934,0.1756
0,0.00480912667,0.079331,0.0443,0.061574,0.127,0.6462,0.1166
1,0.0023522739119999,0.0173889999999999,0.00129,0.025503,0.1018999999999999,0.4816,0.0748
0,0.00061496383,0.0193053,0.0447899999999999,0.107484,0.146,0.4509,0.0663
1,0.426942225,0.03965,0.00232,2.9e-05,0.0187,0.5126,0.0669
1,0.02320579353,0.043243,0.00586,0.023821,0.1002,0.546,0.3231
0,0.00908590495,0.020718,0.00628,0.0130099999999999,0.0861,0.5931,0.0866
1,0.01187457664,0.019797,0.00132,0.006633,0.0728,0.5523,0.088
1,0.199676936,0.6280493,0.100136343,0.0007868909519999,0.07596234924,0.058569999999999,0.126949
1,0.035115357,0.3527,0.1281,0.0056954499999999,0.136,0.054908,0.135
1,0.079039906,0.3996,0.0939901,0.00213482,0.1064,0.05797,0.179
1,0.02980341,0.3635,0.154918,0.0141628,0.1709,0.062838,0.157
1,0.00488446644,0.0205699999999999,0.0008399999999999,0.00265,0.0578999999999999,0.3883,0.0517
0,0.234524445,0.039,0.00233,6.2e-05,0.0226,0.4987,0.0727
0,0.00580184753,0.0395509999999999,0.014,0.022581,0.0989,0.5687,0.0921
1,0.167368995,0.4561,0.0288015,0.000803869,0.0834,0.05759,0.1
1,0.0162951259,0.03678,0.00115,0.002559,0.0573999999999999,0.4915,0.0812
0,0.01592663277,0.0742888,0.05795,0.004768,0.067,0.5496,0.0917
1,0.0120008966699999,0.03266,0.00147,0.003781,0.0632,0.5195,0.0689999999999999
0,0.000953734449,0.017616,0.04765,1.20386,0.2672,0.7332,0.146
1,0.2193215562,0.124124,0.00611,0.000227,0.0313,0.6063,0.1012
0,0.0573435999999999,0.1146,0.210528,0.000198561,0.0588,0.04405,0.086
0,0.00112401084,0.03052,0.00061,0.205879,0.1719,0.5941,0.0911
