class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,3.340218842,1.9104,2.03,43.73,656,3950,0.493
0,2.507089906,2.0067,30.26,730.47,1326,5926,0.939
1,18.64932728,4.4056,3.12,57.13,701,5775,1.053
1,4.90144976,4.1654,1.7,598.74,1262,5847,1.402
1,9.75192101,4.793,2.76,135.66,870,5775,1.053
1,38.5576546,5.794,4.02,21.71,550,5775,1.053
1,3.525632539,2.59959,11.58,213.12,975,5150,0.793
1,34.84398644,2.9315,7.61,16.1,511,5509,0.871
1,7.748094239,3.5957,5.52,204.39,964,5973,1.085
1,23.96793669,3.827,1.8,2.77,329,3747,0.524
1,8.29561738,1.3421,1.82,11.39,469,3747,0.524
1,8.11437482,2.2736,2.1,10.55,460,3692,0.517
0,38.03672948,4.34617,27.5,14.81,500,5575,0.932
1,4.64090031,35.512,30.09,421.08,1155,6463,0.826
0,3.747838198,5.0642,13.65,266.76,1031,5514,0.826
1,14.74914825,6.0995,2.89,137.91,874,5847,1.402
1,21.81295996,4.3791,3.38,39.33,639,5601,0.999
0,7.91936937,3.3148,10.34,104,814,5690,0.776
1,1.028436523,1.8606,72.77,3400.48,1947,6228,0.99
1,15.37562369,3.3169,11.01,30.54,600,4986,0.833
1,8.10363271,3.161,2.11,52.82,687,4861,0.732
1,4.71510843,2.506,1.46,108.84,823,4861,0.732
1,6.365839713,2.9721,2.44,165.33,914,5776,0.849
0,5.97581754,3.065,3.86,284.25,1047,6108,0.997
0,2.446737317,4.7211,26.25,597.19,1261,5764,0.863
1,3.04033046,1.8411,8.99,257.29,1021,5035,0.791
1,15.33528675,3.897,5,32.67,610,5251,0.817
1,7.95825328,4.377,1.06,314.15,1074,5847,1.402
1,31.33046135,5.176,6.5,12.61,481,5251,0.817
0,3.9043425,3.831,12.28,351.05,1104,5810,0.898
0,9.286358079,3.49949,17.61,95.03,796,5670,0.821
0,3.951405455,2.1862,31.44,388.71,1133,6046,0.869
1,23.65369415,8.2183,7.89,67.65,731,5739,1.384
1,13.23352214,6.7372,3.06,146.67,888,5739,1.384
1,6.15560285,4.9843,2.32,406.94,1146,5739,1.384
1,2.090811305,3.388,1.62,1718.04,1642,5739,1.384
1,3.180027898,3.5797,1.53,1066.86,1458,5847,1.402
1,50.4467417,7.159,2.67,24.64,568,5739,1.384
1,11.76307164,2.9076,2.35,33.99,616,4959,0.756
1,56.2279271,3.57,2.37,4.22,366,4959,0.756
0,2.384052875,3.0918,17.06,244.87,1010,4794,0.701
1,7.953547,2.6312,2.25,55.37,696,4768,0.779
1,4.14451656,2.3421,1.48,132.08,864,4768,0.779
0,4.859386384,2.2757,38.33,364.23,1114,6072,0.988
1,10.52629458,2.5211,8.24,61.16,713,5386,0.793
1,4.583520948,2.7055,5.39,274.98,1038,5815,0.877
1,3.76181843,3.5176,2.66,372.62,1121,5653,0.949
1,8.20396958,2.9667,3.01,71.5,742,5015,0.826
1,14.49645186,4.016,3.01,33.48,613,5015,0.826
1,6.54626149,2.75,2.19,101.78,810,5251,0.817
1,12.71809866,3.0957,2.31,23.6,562,4702,0.686
1,36.06588163,4.3246,2.64,5.88,397,4702,0.686
1,4.190425659,2.8589,6.21,547.9,1234,6073,1.135
1,3.709870784,3.0694,4.35,415.1,1151,5727,0.978
1,16.3297527,6.271,3.75,66.08,727,5878,0.987
1,27.80756622,4.21587,13.84,22.24,554,5862,0.785
1,80.8723469,11.195,7.59,9.88,452,5510,1.238
0,3.166465862,2.9381,26.82,196.31,954,4968,0.704
1,24.99324319,5.9409,2.29,60.88,712,5718,1.317
1,10.35533116,3.1775,2.47,86.22,777,5501,0.918
1,16.08518937,3.984,3.68,33.43,613,5239,0.826
1,235.9986399,8.2284,10.59,0.29,188,4245,0.657
1,7.49018305,2.7297,2.56,76.06,753,5103,0.787
1,36.2761238,4.7865,3.03,9.29,445,5103,0.787
1,17.46087931,2.2641,2.32,24.6,568,5103,0.787
1,56.0560754,4.685,1.94,0.69,233,3593,0.491
1,41.40831669,5.0264,11.38,9.93,453,5522,0.747
1,39.74893077,7.3051,14.21,21.87,552,6122,0.964
1,5.715425977,2.5242,2.47,123.03,850,5237,0.826
1,49.18394185,11.3364,8.2,47.4,669,5626,2.057
1,20.0261412,1.611,2.28,23.14,559,5237,0.826
1,13.61014819,2.594,19.02,68.29,733,5697,0.903
0,10.44331991,2.743,2.66,46.94,667,4947,0.802
1,2.237489571,1.8119,1.41,427.17,1160,5265,0.81
0,5.851520671,3.11058,14.62,155.89,901,5532,0.806
1,3.167893418,2.1814,2.62,526.23,1221,5895,0.94
1,4.311780262,2.7251,3.11,274.84,1038,5527,0.927
1,20.0504494,4.556,2.69,35.44,622,5527,0.927
1,9.76734503,1.6585,2.67,92.46,791,5527,0.927
1,119.0207044,8.1405,8.98,4.25,366,5453,1.062
1,190.3200468,15.284,7.78,7.8,426,5626,2.057
0,2.861159894,1.8832,4.37,797.1,1355,6126,1.021
1,26.44439337,3.9783,3.91,23.54,562,5427,0.929
1,51.53997972,6.3994,5.51,9.67,450,5427,0.929
1,5.902245782,2.9003,2.43,173.74,926,5427,0.929
1,2.382951591,1.8876,1.86,583.01,1253,5427,0.929
1,21.02250608,4.1072,3.07,17.48,521,5067,0.75
1,3.219814777,2.0642,1.69,234.93,998,5103,0.787
1,5.912273234,2.3254,1.73,27.72,585,4072,0.57
1,8.98581901,2.8606,1.65,15.9,509,4072,0.57
1,12.94066866,2.4845,22.94,64.64,723,5875,0.809
0,20.5452375,2.517,2.41,71.57,742,5670,1.264
1,33.60123371,4.4056,8.46,14.22,495,5149,0.93
1,6.76652928,2.9004,1.97,120.48,845,5149,0.93
1,4.347288783,2.1024,2.36,449.79,1174,5754,1.122
1,4.601811819,2.2607,2.35,152.91,896,4986,0.833
1,11.18719905,3.252,1.55,46.65,667,4986,0.833
1,4.220965778,3.0854,2.62,29.68,595,3837,0.517
0,6.998099523,2.0488,588.66,125.22,853,5612,0.829
1,5.95489993,2.3892,2.33,38.52,635,4261,0.633
1,12.03987488,2.7363,2.18,15.06,502,4261,0.633
1,20.83762895,2.3734,1.42,7.24,418,4261,0.633
0,8.8111022,5.0683,63.66,904.92,1399,6200,2.404
1,23.58917143,5.073,3.16,13.34,487,4919,0.721
1,6.481633073,3.784,2.54,406.25,1145,5945,1.302
1,10.37168928,3.035,3.2,63.68,720,5121,0.888
1,3.96996298,1.1757,1.78,229.37,992,5121,0.888
1,4.40841331,5.012,2.66,398,1139,6007,0.961
0,7.9426176,6.703,4.68,140.57,878,5811,0.926
1,226.8904775,7.558,4.53,0.73,236,5067,0.75
0,1.956811408,2.1958,21.58,357.16,1109,5209,0.603
1,2.688899233,2.11275,12.04,175.76,929,4820,0.639
1,9.439459486,2.8979,4.16,52.32,686,5097,0.779
1,11.52306746,3.8757,3.13,174.81,927,5644,1.411
1,20.47748843,2.8364,2.92,18.65,530,5097,0.779
1,3.336123113,1.9616,1.74,209.79,970,5097,0.779
1,8.01078456,2.312,1.72,9.9,453,3713,0.47
1,12.07134205,4.3224,1.29,5.74,395,3713,0.47
1,20.99587872,2.6333,1.3,2.74,328,3713,0.47
1,7.41113177,2.5242,2.45,158.11,905,5849,0.919
0,1.000747038,0.9967,4.14,1635.2,1620,5472,0.79
1,8.884922995,2.07004,10.51,83.21,770,5332,0.843
1,8.09888906,4.20241,8.95,223.19,986,6214,1.076
1,10.00653012,5.344,3.52,139.21,876,6063,1.001
1,17.85522168,7.41287,13.16,163.04,911,6823,1.367
1,12.73262407,2.2083,4.87,8.22,432,3950,0.541
1,83.92494032,6.7904,4.78,0.62,226,3960,0.509
1,5.007316661,4.2362,6.96,234.28,998,5865,0.827
1,2.211116989,1.6485,1.85,177.19,931,4500,0.646
1,27.9541337,3.95,1.9,6.04,400,4500,0.646
1,12.69104387,3.7727,2.57,244.3,1008,5869,1.626
0,4.409409243,3.8636,10.95,347.06,1101,5600,0.975
1,16.23947096,4.0374,4.14,30.14,598,5191,0.837
1,6.308201629,2.9785,2.96,106.44,819,5191,0.837
1,2.052349884,2.0778,13.12,1183.18,1497,5855,1.08
1,9.7704486,2.4517,2.23,10.59,460,3906,0.509
1,5.169804269,2.153,1.66,24.75,569,3906,0.509
1,21.22261195,6.5093,2.48,83.56,771,5945,1.302
1,20.09017037,4.154,2.25,4.05,362,3906,0.509
1,7.11373257,2.1764,1.16,8.01,429,3561,0.411
1,3.306551643,1.8177,0.91,22.19,554,3561,0.411
1,15.36845737,2.4714,1.11,2.86,332,3561,0.411
1,13.81020318,3.048,4.56,113.75,833,5942,1.142
1,4.093578461,2.5833,2.85,461.07,1182,6077,0.999
1,105.145959,8.593,3.43,6.09,401,6077,0.999
1,10.8484518,2.9993,2.34,14.66,499,4201,0.591
1,6.66833241,1.915,1.18,28.06,587,4201,0.591
1,4.082274889,3.23015,10.55,251.48,1016,5655,0.794
1,3.886655224,3.1646,1.87,246.29,1010,5662,0.738
1,42.1406089,5.083,1.85,3.49,349,4500,0.646
1,4.617490562,2.2618,1.62,66.47,728,4500,0.646
1,10.19849255,2.4283,1.75,23.11,559,4500,0.646
0,5.795063956,3.2496,4.33,192.74,950,5865,0.827
1,7.15681552,2.5882,2.47,88.23,782,5029,0.838
1,17.64830851,2.0873,2.43,26.49,579,5029,0.838
1,4.14810719,2.535,1.08,182.76,938,5029,0.838
1,16.51410989,4.1575,2.72,43.57,655,5527,0.866
1,30.1329298,5.172,3.14,19.55,536,5527,0.866
1,4.79090809,2.603,1.36,227.24,990,5527,0.866
1,31.71981013,4.819,3.09,71.97,743,5869,1.626
1,99.6415962,4.448,2.64,3.97,360,5527,0.866
1,4.708326451,3.16114,10.6,431.02,1162,5560,1.21
0,16.37198661,3.8449,540.37,8.71,438,4187,0.592
1,5.392026903,2.9804,2.68,123.33,850,5198,0.801
1,2.494170338,1.1221,2.42,480.19,1194,5569,0.829
1,6.491682808,4.301,9.66,301.54,1062,6123,1.107
0,3.044770796,10.0134,24.54,317.36,1076,5525,0.753
1,3.855603916,3.2179,13.61,508.65,1212,6033,1.046
0,3.855599139,3.183,3.57,425.74,1158,5936,0.965
0,38.47876629,5.04169,13.26,13.01,484,5510,0.879
0,37.60166128,8.30604,27.22,31.86,606,6140,1.096
1,3.314947362,1.8007,3.94,421.03,1155,5609,0.944
0,6.71969089,3.0231,4.37,194.18,952,5931,0.866
1,39.6431552,6.5292,10.98,11.74,472,5231,0.9
0,51.42598578,16.9422,29.66,21.4,549,6257,1.147
1,21.80451611,3.4097,2.6,20.48,543,5481,0.708
1,10.28194593,3.4366,2.53,50.6,680,5196,0.775
1,18.11993039,4.2309,2.95,23.77,563,5196,0.775
1,3.78402867,1.9012,1.7,191.78,949,5196,0.775
1,5.15448142,3.228,2.94,204.1,964,5431,0.884
0,33.80364366,11.4813,20.7,72.71,745,5855,1.796
1,5.743469797,3.4412,3.13,219.95,982,5897,0.891
1,39.4759093,2.968,4.06,26.13,577,6225,1.031
0,19.97448524,4.23479,26.56,56.84,700,6108,0.997
1,3.166353562,3.3129,3.82,621.92,1273,6007,0.998
0,23.89963441,3.81881,44.04,42.8,652,6192,0.924
1,3.388012244,2.6849,2.11,705.93,1315,5553,1.25
1,5.83909761,3.1915,2.06,341.48,1097,5553,1.25
1,1.620467654,2.1888,1.57,1893.42,1681,5553,1.25
1,10.6816951,3.605,2.3,152.75,897,5553,1.25
1,6.104849417,4.6912,3.18,89.25,784,5085,0.712
1,3.578780566,2.91089,10.43,406.6,1145,5524,0.994
0,3.187067566,3.119,23.88,319.76,1079,5450,0.811
1,5.826657508,2.9183,4.09,248.57,1013,5561,1.06
1,12.41216347,3.739,2.58,90.65,787,5561,1.06
1,18.74649011,3.895,3.05,52.38,686,5561,1.06
1,20.86021229,5.1937,5.5,87.76,781,6035,1.257
1,42.63427848,6.1998,5.22,33.82,615,6035,1.257
1,87.6476068,8.871,4,12.94,484,6035,1.257
1,9.61731426,3.8692,1.94,246.13,1010,6035,1.257
1,9.467821474,2.4327,2.13,6.47,407,3582,0.458
1,0.893040969,1.0981,1.24,151.14,893,3582,0.458
1,4.942783419,3.25346,10.62,244.42,1008,5514,0.978
1,20.83426731,4.0454,2.74,29.62,595,5537,0.88
1,9.94602357,3.3862,3.12,100.34,807,5344,1.013
1,1.04562195,1.8955,1.45,2031.84,1710,5344,1.013
1,5.71462396,2.336,1.78,210.16,971,5344,1.013
0,102.9641952,15.735,39,95.4,797,5047,7.119
1,8.14515981,5.073,3.43,287.91,1050,5896,1.24
1,18.9985279,4.529,43.17,93.03,792,5896,1.24
1,4.24439049,3.282,2.07,686.99,1305,5896,1.24
1,90.1240507,11.649,7.12,13.09,485,6520,1.215
1,28.5742692,4.9427,2.32,19.83,538,5551,0.812
1,856.672115,23.144,3.87,0.81,242,6449,1.309
1,0.689210173,1.6169,1.32,3362.71,1943,5630,0.954
1,7.34373964,1.1784,1.84,117.5,839,5757,0.762
0,0.445277068,3.539,35.74,10177.11,2562,6167,1.064
0,0.379463865,0.86896,59.56,19256.81,3000,5075,1.783
0,9.88047978,2.78458,23.6,129.45,860,6113,0.917
0,4.6484156,38.1939,5.06,6152.88,2259,6980,3.482
0,17.51201477,1.8248,13.66,98.77,804,6224,1.132
1,3.9886021,1.7376,34.39,23135.72,3145,4813,13.652
1,0.533059312,1.8621,133.56,277887.7,5862,8523,4.051
0,0.525154153,2.1441,23.61,4391.51,2073,5582,0.846
0,1.303861044,4.0541,27.85,1595.19,1610,5758,0.902
0,2.55549176,9.083,23.35,701.68,1312,5948,0.901
0,2.947376671,2.0911,403.59,7903.84,2404,8090,2.234
1,224.7789355,11.1899,7.67,2.92,333,5873,1.235
0,0.890110752,0.8774,1.25,838.42,1372,4768,0.711
0,5.76573396,2.924,7.47,3518.78,1964,5772,4.434
1,7.42608123,3.6379,2.47,273.78,1037,6049,1.176
1,15.9868932,4.158,1.62,98.51,803,6049,1.176
0,0.73094589,4.32,17.12,3248.17,1922,5901,0.848
1,18.92537246,3.9835,13.92,443.58,1171,4941,4.885
0,0.933749106,4.256,3.22,15822.49,2863,6215,2.188
0,2.037440623,3.442,1.19,1448.05,1572,6253,1.015
1,129995.7784,9.408,2.99,0,25,4500,0.726
1,31.5925809,13.566,1.78,53.09,688,5676,1.487
1,17.157236,11.284,1.55,119.87,844,5676,1.487
1,1.97376085,1.82542,8.78,76.1,753,3807,0.503
1,13.11896244,4.3045,8.25,2310.43,1768,7221,4.24
0,4.618767792,5.9957,7.48,442.78,1170,6013,1.033
1,7.82187328,3.8417,2.78,4601.71,2101,7221,4.24
1,53.5057611,10.5616,2.52,49.16,675,6247,1.762
1,2.785821236,3.5599,1.69,2388.98,1784,6202,1.733
0,52.56901867,6.7507,78.54,69.62,737,7240,1.717
0,3.411758679,3.158,14.71,51.85,684,3995,0.561
0,0.525426427,1.0801,1.45,4349.62,2069,5791,0.802
1,1.269091415,1.4647,1.41,740.47,1331,5041,0.766
1,2.853133997,1.465,1.36,251.77,1016,5041,0.766
1,6.79685353,3.1702,2.01,222.91,985,6061,0.97
0,8.667822346,4.9658,67.37,681.39,1303,6266,1.889
1,1.475323222,2.3155,5.88,13331.51,2740,4941,4.885
1,4.15246118,2.5755,7.62,3354.56,1941,4941,4.885
1,8.7348852,4.49,1.59,148.62,890,5982,0.96
0,10.26547688,3.733,1.81,83.13,770,5699,0.853
1,13.4471791,3.0454,5.24,122.34,848,6276,1.041
0,3.305577989,2.5903,25.89,263.55,1027,5534,0.707
0,4.800653901,9.0419,16.91,778.45,1347,6715,1.241
0,15.06649901,5.9885,56.44,177.96,932,5751,1.626
0,34.82008158,11.1711,11.36,10.49,459,5114,0.784
0,0.651784374,2.0141,33.65,4500.59,2090,5555,1.061
0,1.353771892,7.012,430.99,136609.48,4903,4283,15.76
0,18.95491633,24.249,71.39,397.48,1139,6362,2.534
0,4.348866254,3.2797,2436.69,401588.95,6421,3598,101.451
0,47.93094546,2.6897,68.02,158.41,905,8214,1.938
0,3.99751422,3.686,2.98,5563.95,2203,5066,5.324
0,1.592633181,5.5605,1.56,290.51,1053,4506,0.651
1,67.5923754,12.249,12.1,28.2,588,6038,1.744
1,17.02902786,4.645,2.54,76.66,755,5839,1.067
1,6.84619236,3.529,1.67,258.41,1022,5839,1.067
1,67.8321638,7.358,2.39,12.14,476,5839,1.067
1,43.1312147,3.198,2.39,22.21,554,5839,1.067
1,1.224866441,1.7086,1.54,2174.33,1741,5553,1.107
1,37.8102649,8.733,2.33,24.27,566,6085,0.973
1,25.93406406,4.6142,2.48,55.1,695,5952,1.225
1,83.4463485,6.536,2.73,11.59,471,5952,1.225
0,7.04710032,2.926,25.2,223.84,986,5766,1.068
1,12.99204853,6.0175,2.03,132.94,866,5765,1.242
0,11.11620211,4.211,8.96,125.21,853,6122,0.996
0,1.922861499,3.5734,5.09,884.12,1392,5778,0.911
0,0.635445336,1.8592,19,451.42,1177,3920,0.55
0,1.665784138,1.8946,97.27,11424.49,2636,6261,2.789
0,55.6639167,23.546,34.14,8.38,434,5587,0.853
1,52.09081627,8.6388,7.14,29.07,592,6198,1.324
0,7.1548608,7.694,7.41,1141.57,1482,7443,1.739
1,4.28746668,1.5693,2.29,186.31,942,5296,0.815
0,2.002779769,2.231,1.42,696.4,1311,5346,0.892
1,8.18739443,3.0472,1.92,88.36,782,5251,0.849
1,76.0498163,7.158,1.75,4.53,372,5251,0.849
1,3.341799486,2.9254,1.67,798.41,1356,5873,1.235
0,3.3226948,3.568,15.33,52428.3,3859,5234,16.959
0,36.97708808,4.737,38.6,31.08,602,5589,1.239
0,1.851409163,10.232,20.42,5090.14,2154,7117,1.469
0,1.303859704,2.8239,0.98,7759.2,2393,6802,1.521
0,145.5624926,5.4126,40.15,5.33,387,6148,1.095
1,3.749105745,1.9826,1.68,428.25,1160,5751,0.983
1,11.08956602,6.2877,3.51,965.62,1422,6353,2.867
1,7.37290344,2.172,2.67,240.11,1004,5973,1.07
0,7.24476126,2.3145,0.65,116.02,837,5370,0.874
1,119.0624882,3.1188,10.4,4.26,366,5697,0.92
1,8.70798309,2.4904,2.01,20.59,543,4362,0.554
1,14.8623076,3.161,1.57,10.08,454,4362,0.554
1,4.17634276,2.335,1.23,54.8,694,4362,0.554
1,27.40229859,6.8491,3.63,68.46,734,6198,1.324
1,3.179267286,1.0246,1.21,347.01,1101,5511,0.857
1,10.38122447,2.715,2.18,48.37,672,5095,0.78
1,24.5709023,3.587,2.82,15.33,505,5095,0.78
0,81.221876,4.1135,16.59,5.2,385,5619,0.874
0,0.817026268,2.0799,2.92,2386.13,1784,5619,0.874
1,3.024092505,2.8021,12.14,1162.54,1489,6063,1.358
0,5.670155713,0.9361,5.85,3.21,341,3337,0.183
1,1.022678654,1.3712,1.14,2138.47,1734,5366,1.02
1,12.10968709,6.3461,2.98,240.8,1005,6021,1.458
1,4.75796103,4.66,1.7,835.65,1372,6021,1.458
1,20.4972755,8.536,2.96,119.42,843,6021,1.458
0,13.55480534,2.288,0.62,50.41,679,5370,0.874
0,29.74454668,23.2842,20.06,10.1,455,4889,0.788
0,14.15402428,4.47001,53.25,86.13,777,5850,1.037
0,0.844786082,3.5289,35.27,2846.03,1864,5705,0.915
0,0.848483947,1.4451,32.11,3117.82,1908,5941,0.936
0,11.99097576,5.7401,37.47,141.63,880,6110,1.072
1,53.5292702,5.668,2.28,3.48,348,4736,0.708
0,0.393726813,2.95,24.17,12661.53,2705,6277,1.031
1,2.757584622,0.9267,1.01,33.79,615,3683,0.424
1,0.928310036,1.1899,1.16,365.72,1115,4109,0.602
1,13.48457668,5.0197,3.39,176.29,929,6198,1.324
1,31.8841473,6.122,3.7,23.82,563,5779,0.974
1,16.15811112,6.049,86.13,44.83,660,5619,0.874
0,67.69213907,51.349,175.98,448.21,1173,5355,10.703
1,12.06222962,2.0584,1.62,74.8,750,5547,0.933
1,9.93146307,5.678,2.41,177.83,931,5782,1.22
1,21.85362905,3.439,1.75,34.57,618,5830,0.876
1,8.19345065,5.234,1.74,405.75,1144,6021,1.458
0,19.97867,10.168,6.85,788.02,1351,9651,1.895
1,41.8059544,6.057,2.02,19.02,533,5907,0.973
0,15.45158184,2.406,2.02,643.83,1285,7839,2.069
0,89.69816853,5.5418,102.08,22.33,554,6214,1.583
0,1.187352427,4.999,67.35,6067.3,2251,6424,1.489
0,3.012476582,3.1424,65.25,7471.65,2371,8601,2.031
1,4.77800306,2.7361,1.85,177.79,932,5192,0.873
0,7.814839231,3.0122,5.33,156.74,903,5887,0.931
0,29.7452499,22.695,3.6,22.74,557,5334,1.004
1,5.32667299,3.4045,2.26,242.97,1007,5831,0.921
0,0.741057213,1.05299,26.67,2128.29,1730,5496,0.776
0,2.988085455,3.68,21.81,348.05,1101,5497,0.809
0,2.783883492,2.4546,67.17,3304.55,1934,6028,2.147
0,0.393727296,3.02,23.05,5746.51,2216,5628,0.808
1,8.17242644,3.902,3.29,127.95,858,5705,0.905
1,1295.362215,28.297,57.82,0.19,169,5609,1.048
1,13.0607936,3.215,1.45,68.66,734,5830,0.876
1,4.2989201,2.747,2.12,283.62,1046,5300,0.986
0,25.9518461,14.581,22.32,17.37,521,5372,0.796
0,25.9518536,14.755,24.6,14.09,494,5198,0.742
0,5.68628739,17.573,4.5,297.81,1059,6052,0.956
0,15.66388695,2.4775,27.36,298.77,1060,5996,2.221
0,4.020628573,4.4085,16.94,543.92,1232,6210,1.033
1,5.714817603,3.14126,9.29,187.27,943,5695,0.842
