class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
0,1.15395,2.236,1550,5.48364,2148,3534.3,6093,1.4
0,4.73703,3.902,2410,25.7144,4243,53821,11600,2.48
1,2.76676,2.6872178,14947.43878,12.2867389,1209.574123,505.8840075,5346,0.984866
0,2.19296,4.586,4933.74,22.7769,3722,31883.5,7009.8,2.95
1,1.725841,3.674,2710,15.0024,4175,50469.2,7348,2.39
0,1.1923,3.119,3730,30.666,3958,40771.2,6534,2.04
1,1.4821386,2.1867078,2102.65683,13.7339261,2962.241804,18197.13545,7066,2.6647301
0,0.9209526,1.8602735,360.8801529,5.7349089,3430.762244,32740.36294,6553,2.8908899
1,9.188506,2.492,460,2.16591,786,63.4589,5876,0.98
1,13.9028391,2.1264429,647.2701039,2.6136848,756.6987586,77.4841883,5876,0.983215
1,10.1826983,2.8275109,667.4752458,3.0538057,957.1991659,198.394783,6153,1.14582
1,6.441006,1.812,914,2.56374,853,87.8902,4867,0.8
1,3.1743504,2.751086,15457.32476,14.9172256,1320.651823,718.9096994,5943,1.15706
0,20.0731588,3.8449215,1152.964546,4.0506906,736.1368293,69.3993155,6033,1.14849
0,2.66903,1.548,3110,9.36823,1268,429.86,5803.5,1.56
0,6.63371,2.122,1555.34,2.75375,610,22.9987,4138.1,0.63
1,2.94308,4.073,4490,45.3525,1976,2533.34,4437,3.13
0,341.2811281,6.303026,972.5797241,4.7531892,846.173434,121.1597998,6058.6,1.39203
1,10.8680523,2.375,1553,2.90726,594,20.7383,4664,0.76
1,11.1149,2.26,900,14.7645,603,21.9713,5042,4.94
1,4.0782392,4.8475616,6046.695969,13.898174,1617.82673,1619.008123,6501,1.74836
0,7.04083,2.979,1580,8.46404,1505,852.336,5317,0.91
1,2.1061569,1.4688934,12142.22385,13.086872,1308.041753,691.8428073,5380,0.940697
0,2.4545635,2.321,4248,11.1276,1899,2162.73,6610,1.64
0,11.4756978,0.808,8341,14.1098,512,11.4585,7262,2.13
0,2.78186,2.456,490,4.92567,1680,1323.21,6819,2.21
0,6.4410082,1.798,7076,4.59203,471,8.2114,3469,0.53
1,5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551,0.906282
1,2.2281625,2.015,630,2.56778,1434,702.927,5731,1.02
1,2.4997996,2.865171,14621.20596,13.8516093,1399.989438,907.8624196,5650,1.13732
0,1.66226,3.321,6030,13.3343,2561,7149.89,7301,1.64
1,0.7724825,1.3744974,211.3168519,4.1624907,3996.287792,60276.50005,8271,2.5027299
0,1.6268695,3.231,1502,2.36498,1850,1946.23,5034,0.73
0,13.5499,1.795,1180,6.24633,660,31.6652,6209,1.63
0,4.43651,3.365,1520,19.9664,2653,8233.41,7101.9,2.32
1,3.372877,2.63426,17163.60419,14.201803,1270.187448,615.165921,6050,1.02
1,8.34998,1.836,16680,11.1424,588,19.9348,4236,0.74
1,4.0686405,1.8373729,2650.095001,3.7548333,772.378302,84.108766,4236,0.741921
1,0.5860366,0.8098934,410.5241553,4.906408,3263.672181,26813.10571,5579,2.39803
0,1.5502952,2.938,411,3.34528,2839,10796.6,7851,1.86
0,1.80709,3.297,450,4.86242,2569,7233.01,6244,2.2
0,18.6922101,7.765,11126,18.1458,1141,282.175,6277,1.65
1,8.0277326,4.284,5705,9.06883,1106,248.619,5962.7,1.15
1,12.5187279,5.38,2320,5.58857,1393,626.362,5729,0.98
1,6.2586065,3.201,813,2.51593,1087,232.392,5729,0.98
1,26.3208756,4.414,800,2.71349,631,26.4328,5729,0.98
1,18.795547,4.3425576,470.6731965,2.1597669,672.9826313,48.477077,5729,0.977727
1,1.3206356,1.6000996,1052.4256,34.7561624,1982.71421,3652.258249,4919.6,6.3070302
0,0.64971,2.076,620,6.23181,4731,83182,9994,2.59
1,4.4780798,4.513,1054,11.3678,3715,31621.7,7947,1.83
1,3.2887898,3.4367717,7005.72479,10.5135877,1338.839265,759.3373533,5800,1.24175
