# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 11:34:46 2025
#
# User preference: *
#
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
loc_rowid,pl_orbper,pl_trandurh,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
57,2.1846669,2.8652800,13.7028527,1362.1381428,1549.4409801,5630.0000000,1.2382400
58,3.7354838,4.1420000,21.2315000,1292.1900000,1670.0000000,6650.0000000,1.5700000
59,21.7016690,8.2676424,2.3751494,52.0950000,685.2000000,5625.0000000,1.5648600
60,9.1398040,3.0912936,3.0629855,243.0117630,1006.9932829,5958.2000000,1.5800000
61,5.7426250,2.8602930,13.0885320,,,5664.0000000,3.8695900
62,15.5077855,4.5650000,2.4343200,88.0718000,853.0000000,6122.0000000,1.1700000
63,17.4713078,4.4284819,3.5766828,53.3700317,689.3568807,5783.5400000,0.9746690
64,5.3079507,3.2158594,3.0486928,603.2401116,1263.9861129,6124.3000000,1.3696300
65,51.1701501,6.6641048,2.9366826,11.2148229,466.7322968,5599.0000000,0.9433560
66,11.1296441,7.0473822,12.8402271,1255.6817164,1518.2372485,5785.0000000,3.4475601
67,9.4496506,2.0210000,17.0216000,38.5799000,694.0000000,5509.0000000,0.9400000
68,2.8493825,3.5670000,16.3869000,2005.8300000,1864.0000000,6900.0000000,1.7700000
69,2.0685633,0.3730000,3.8973900,24.4090000,619.0000000,5687.9000000,1.1400000
70,0.5409330,1.6743370,2.2850100,,,5525.0000000,1.2193500
71,4.1150576,1.0800000,2.3005700,77.3573000,826.0000000,5394.0000000,0.8900000
72,10.0665238,2.4023189,2.7272824,54.8791715,694.1792631,5552.0000000,0.7917420
73,6.4438657,1.9309449,2.4603440,60.8313050,712.2812841,4803.0000000,0.7371890
74,12.2265595,2.1904379,2.6014766,25.8970378,575.3502049,4803.0000000,0.7371890
75,2.1603440,1.8288540,22.5035410,,,5780.0000000,1.2000000
76,4.6061840,3.1216430,12.9622190,,,5670.0000000,1.0700000
77,3.1316735,2.4579197,9.4995191,148.6544991,890.5622134,4351.0000000,0.7670100
78,3.1803620,2.1115210,13.4464870,,,5498.0000000,0.9200000
79,2.9776446,2.9620000,14.4339000,758.3240000,1461.0000000,5703.0000000,1.2200000
80,3.9502008,4.4440000,20.5357000,1009.3800000,1570.0000000,6153.0000000,1.7100000
81,2.9776152,3.2569700,26.8842300,873.2700000,1386.5000000,5740.0000000,1.2800000
82,3.5544026,2.0550535,13.2006770,515.0014435,1214.9876435,5639.0000000,1.1149900
83,12.8379689,9.8464123,25.4886382,374.1290000,1225.0000000,5765.0000000,2.4494000
84,3.9228016,1.8736007,13.3368705,91.1675890,788.0973496,4444.0000000,0.6983000
85,13.9428705,3.7522756,2.4233421,28.0927293,587.1759148,5206.0000000,0.7416710
86,0.6047392,1.0403847,1.8625587,528.0253155,1222.5973095,4046.0000000,0.5803370
87,2.5495611,2.6173308,12.9171288,757.1284067,1337.8645148,5659.0000000,1.0399700
88,1.6062693,1.9561305,12.6436029,844.2700581,1374.8018137,5192.0000000,0.9843260
89,0.5182425,0.8565249,1.3485121,255.1405815,1019.3295979,3325.0000000,0.3909890
90,3.1644075,2.0576293,14.8814743,2206.1550476,1747.9490013,6519.0000000,1.7234000
91,3.0440541,2.5984575,12.1086799,315.9871326,1075.3184542,5523.0000000,0.8098680
92,3.9652485,1.0112593,1.2305102,5.2829448,386.6684768,3296.0000000,0.1999880
93,2.9827800,3.1095280,11.4670110,,,6027.0000000,1.2397500
94,16.3469053,3.5865698,3.5059571,8.9995944,441.7489067,4310.0000000,0.6496130
95,12.9802953,2.5034417,2.4241912,4.7341229,376.2093904,3614.0000000,0.4913230
96,1.3484961,2.4074261,15.8824638,2706.9606225,1839.6713042,6346.0000000,1.1475900
97,3.2541181,4.3410000,14.9476000,1436.4500000,,6102.0000000,1.2800000
98,3.7178828,5.5277827,14.6986197,1925.1426172,1689.4116185,5818.0000000,2.0840001
99,9.3099200,3.4640000,14.2968000,215.2080000,1067.0000000,6907.0000000,3.0900000
100,1.1539500,2.2360000,5.4836400,3534.3000000,2148.0000000,6093.0000000,1.4000000
101,4.7370300,3.9020000,25.7144000,53821.0000000,4243.0000000,11600.0000000,2.4800000
102,2.7667600,2.6872178,12.2867389,505.8840075,1209.5741229,5346.0000000,0.9848660
103,2.1929600,4.5860000,22.7769000,31883.5000000,3722.0000000,7009.8000000,2.9500000
104,1.7258410,3.6740000,15.0024000,50469.2000000,4175.0000000,7348.0000000,2.3900000
105,1.1923000,3.1190000,30.6660000,40771.2000000,3958.0000000,6534.0000000,2.0400000
106,11.4760600,6.0830000,,,,,
107,0.5971314,0.4680000,9.0838200,1596.4300000,1760.0000000,7710.0000000,2.2800000
108,1.4821386,2.1867078,13.7339261,18197.1354531,2962.2418039,7066.0000000,2.6647301
109,0.9209526,1.8602735,5.7349089,32740.3629399,3430.7622437,6553.0000000,2.8908899
110,9.1885060,2.4920000,2.1659100,63.4589000,786.0000000,5876.0000000,0.9800000
111,13.9028391,2.1264429,2.6136848,77.4841883,756.6987586,5876.0000000,0.9832150
112,10.1826983,2.8275109,3.0538057,198.3947830,957.1991659,6153.0000000,1.1458200
113,6.4410060,1.8120000,2.5637400,87.8902000,853.0000000,4867.0000000,0.8000000
114,3.1743504,2.7510860,14.9172256,718.9096994,1320.6518234,5943.0000000,1.1570600
115,20.0731588,3.8449215,4.0506906,69.3993155,736.1368293,6033.0000000,1.1484900
116,2.6690300,1.5480000,9.3682300,429.8600000,1268.0000000,5803.5000000,1.5600000
117,6.6337100,2.1220000,2.7537500,22.9987000,610.0000000,4138.1000000,0.6300000
118,2.9430800,4.0730000,45.3525000,2533.3400000,1976.0000000,4437.0000000,3.1300000
119,341.2811281,6.3030260,4.7531892,121.1597998,846.1734340,6058.6000000,1.3920300
120,10.8680523,2.3750000,2.9072600,20.7383000,594.0000000,4664.0000000,0.7600000
121,11.1149000,2.2600000,14.7645000,21.9713000,603.0000000,5042.0000000,4.9400000
122,4.0782392,4.8475616,13.8981740,1619.0081232,1617.8267296,6501.0000000,1.7483600
123,7.1438600,1.4670000,22.1531000,,,7860.0000000,1.9100000
124,7.0408300,2.9790000,8.4640400,852.3360000,1505.0000000,5317.0000000,0.9100000
125,2.1061569,1.4688934,13.0868720,691.8428073,1308.0417533,5380.0000000,0.9406970
126,2.4545635,2.3210000,11.1276000,2162.7300000,1899.0000000,6610.0000000,1.6400000
127,11.4756978,0.8080000,14.1098000,11.4585000,512.0000000,7262.0000000,2.1300000
128,2.7818600,2.4560000,4.9256700,1323.2100000,1680.0000000,6819.0000000,2.2100000
129,6.4410082,1.7980000,4.5920300,8.2114000,471.0000000,3469.0000000,0.5300000
130,2.4887726,2.6320000,,773.3029498,1344.9531805,8048.0000000,
131,4.4519900,2.1090000,15.8858000,1013.7400000,1571.0000000,6708.3000000,1.5700000
132,5.0100708,2.0644756,2.3107394,210.6631712,971.6657708,5551.0000000,0.9062820
133,2.2281625,2.0150000,2.5677800,702.9270000,1434.0000000,5731.0000000,1.0200000
134,4.1381200,3.9110000,,613.9640000,1386.0000000,4898.4000000,
135,10.9566300,3.5880000,23.9726000,619.0650000,1389.0000000,6456.0000000,2.0700000
136,2.4997996,2.8651710,13.8516093,907.8624196,1399.9894384,5650.0000000,1.1373200
137,1.6622600,3.3210000,13.3343000,7149.8900000,2561.0000000,7301.0000000,1.6400000
138,4.0761100,2.0620000,,,,,
139,3.6245513,3.0420000,4.3503000,919.5710000,,6317.0000000,1.3800000
140,1.2092800,1.8860000,15.1764000,,,5159.8000000,1.2700000
141,3.5187707,2.4080000,14.0061000,2000.0100000,1863.0000000,6690.0000000,1.4900000
142,0.7724825,1.3744974,4.1624907,60276.5000547,3996.2877922,8271.0000000,2.5027299
143,1.6268695,3.2310000,2.3649800,1946.2300000,1850.0000000,5034.0000000,0.7300000
144,2.3243900,4.4530000,,68217.5000000,4502.0000000,8268.5000000,
145,13.5499000,1.7950000,6.2463300,31.6652000,660.0000000,6209.0000000,1.6300000
146,4.4365100,3.3650000,19.9664000,8233.4100000,2653.0000000,7101.9000000,2.3200000
147,3.3728770,2.6342600,14.2018030,615.1659210,1270.1874480,6050.0000000,1.0200000
148,8.3499800,1.8360000,11.1424000,19.9348000,588.0000000,4236.0000000,0.7400000
149,4.0686405,1.8373729,3.7548333,84.1087660,772.3783020,4236.0000000,0.7419210
150,0.5860366,0.8098934,4.9064080,26813.1057089,3263.6721812,5579.0000000,2.3980300
151,1.5502952,2.9380000,3.3452800,10796.6000000,2839.0000000,7851.0000000,1.8600000
152,1.8070900,3.2970000,4.8624200,7233.0100000,2569.0000000,6244.0000000,2.2000000
153,18.6922101,7.7650000,18.1458000,282.1750000,1141.0000000,6277.0000000,1.6500000
154,8.0277326,4.2840000,9.0688300,248.6190000,1106.0000000,5962.7000000,1.1500000
155,12.5187279,5.3800000,5.5885700,626.3620000,1393.0000000,5729.0000000,0.9800000
156,6.2586065,3.2010000,2.5159300,232.3920000,1087.0000000,5729.0000000,0.9800000
157,26.3208756,4.4140000,2.7134900,26.4328000,631.0000000,5729.0000000,0.9800000
158,18.7955470,4.3425576,2.1597669,48.4770770,672.9826313,5729.0000000,0.9777270
159,1.3206356,1.6000996,34.7561624,3652.2582486,1982.7142102,4919.6000000,6.3070302
160,0.6497100,2.0760000,6.2318100,83182.0000000,4731.0000000,9994.0000000,2.5900000
161,4.4780798,4.5130000,11.3678000,31621.7000000,3715.0000000,7947.0000000,1.8300000
162,3.2887898,3.4367717,10.5135877,759.3373533,1338.8392647,5800.0000000,1.2417500
163,13.7431084,2.2850000,12.0500000,84.3234000,844.0000000,5941.5000000,1.3400000
164,16.9487087,4.2887767,45.2204505,78.2632870,758.5937679,5894.7000000,1.1179000
165,3.3686634,3.0120000,42.2321000,9856.2400000,2775.0000000,7518.0000000,2.6800000
166,11.2071839,4.3660000,17.4989000,813.0630000,1487.0000000,6152.0000000,2.2400000
167,4.8878037,2.1840000,5.2915200,71.6805000,810.0000000,4757.3000000,0.7600000
168,2.9716400,1.5340000,,3089.1800000,2076.0000000,8562.5000000,
169,0.6601790,1.6349369,6.1672487,252487.7638842,5717.1532477,8598.7000000,2.6243200
170,10.9278415,2.4680000,49.1695000,270.1420000,1129.0000000,6259.0000000,2.9200000
171,5.5514888,4.3350000,15.8043000,802.8580000,1482.0000000,6403.9000000,1.5500000
172,2.3202418,2.3817612,,22262.0513573,3115.3801229,8737.5000000,
173,4.7423709,2.4988145,10.5505922,209.7699043,970.6340996,5377.0000000,0.8775850
174,1.4810903,4.1588291,20.3402421,33326.7304874,3446.0210572,9435.0000000,2.2877300
175,3.4741012,3.3170000,21.2912000,3453.0700000,2084.3330866,8894.8000000,1.6200000
176,6.5011911,5.5463587,,214.9638584,976.5873888,5485.0000000,
177,6.0360758,1.2550000,9.8676300,464.0970000,1293.0000000,6528.3000000,1.6900000
178,21.7455370,4.1960000,2.1020800,28.2504000,642.0000000,5704.0000000,0.9300000
179,1.3200300,3.1750000,,,,,
180,1.6865822,2.4290000,,,,,
181,13.0727479,3.0440000,35.7944000,221.3430000,1074.0000000,5709.8000000,3.5900000
182,2.9258727,4.0750000,24.4055000,3028.5100000,2066.0000000,4884.5000000,1.3000000
183,0.7377400,0.6360000,5.2821500,,,6449.5000000,2.1000000
184,2.7985802,2.3801043,11.9514993,332.5562490,1089.1458169,4920.0000000,0.9066550
185,2.3664127,2.5910000,,,,,
186,1.7635881,3.0920000,,7685.7900000,2608.0000000,7986.1000000,
187,7.3166682,3.2550000,,1221.8200000,1647.0000000,8730.0000000,
188,3.0771612,2.6914319,,2636.8654415,1827.6445751,9311.3000000,
189,3.2077145,2.7080000,,,,,
190,2.2552845,2.0500000,14.6880000,549.7150000,1348.0000000,5787.0000000,0.9600000
191,1.8824539,2.4600000,8.2900800,15173.2000000,3091.0000000,5900.4000000,1.1300000
192,15.1960000,1.7920000,4.9634500,,,5807.0000000,1.1400000
193,2.1358631,1.5590000,23.6019000,1540.9500000,1745.0000000,5969.0000000,1.5000000
194,6.7075429,2.1250000,17.4647000,225.8220000,1079.0000000,6134.3000000,1.2400000
195,3.5862962,3.3710943,16.4747611,1787.5955937,1658.3915202,5704.8000000,2.0044100
196,1.8296155,2.1660000,29.3616000,32867.0000000,3751.0000000,7875.0000000,3.5000000
197,11.1876137,3.1830000,31.8624000,838.6090000,1499.0000000,7266.0000000,2.0500000
198,7.8513949,6.8350000,,,,,
199,7.0643978,2.4240000,9.3913100,104.3110000,890.0000000,5429.6000000,0.9600000
200,8.9534775,2.6960000,2.3588800,45.5604000,723.0000000,5029.5000000,0.7600000
201,7.5022708,2.6050000,5.5581200,129.8660000,940.0000000,6229.0000000,1.2700000
202,14.0077666,5.8727493,12.4023108,264.4796635,1028.5320293,6557.7000000,1.5743500
203,1.6928920,2.8860000,11.2371000,187927.0000000,5800.0000000,9121.5000000,2.1000000
204,2.6652007,3.4900000,2.3596400,2905.3500000,2045.0000000,4043.4000000,0.5600000
205,1.2615323,1.0390000,8.6740700,1437.1800000,1715.0000000,4927.9000000,0.7800000
206,6.0344667,1.8900000,4.4402900,64.2648000,788.0000000,5586.0000000,1.0500000
207,9.6867516,2.5120000,3.0033600,41.6645000,707.0000000,4738.1000000,0.7300000
208,2.1031647,5.0590000,16.7087000,14140.0000000,3037.0000000,6122.0000000,1.9300000
209,7.6416041,2.6540000,27.5380000,478.6830000,1303.0000000,6496.7000000,2.0500000
210,5.9294088,2.9330000,10.8101000,456.8930000,,5095.6000000,1.0600000
211,5.7484439,1.7600000,2.3521500,75.2720000,820.0000000,4534.0000000,0.6900000
212,1.1967018,1.8790000,10.3239000,25917.9000000,3534.0000000,5997.0000000,1.7300000
213,11.2464616,7.3910000,17.6677000,365.9380000,1218.0000000,6115.7000000,2.0100000
214,2.5941968,0.8610000,4.4722900,300.0140000,1159.0000000,6389.0000000,1.4000000
215,8.5112000,3.4860000,,,,8156.0000000,
216,3.9687994,1.0700000,,,,5286.9000000,
217,5.5411114,2.4670000,2.0448200,258.8430000,1117.0000000,5332.0000000,0.8200000
218,10.6917268,3.0020000,1.7981100,42.2657000,710.0000000,5332.0000000,0.8200000
219,3.6950015,4.5150000,14.1288000,2184.6200000,1904.0000000,7106.7000000,1.6300000
220,15.7335693,3.2880000,24.3218000,367.5880000,1219.0000000,6800.0000000,2.2100000
221,45.9403293,3.7680000,28.3312000,20.4053000,,6479.3000000,1.2800000
222,2.2219839,1.9960000,15.4416000,7790.5600000,,7166.8000000,1.8700000
223,2.3106428,1.2940000,8.7674100,203.6850000,1052.0000000,5339.9000000,0.9900000
224,4.0513500,2.4000000,14.2359000,,,4974.4000000,3.8500000
225,5.5376617,2.5170000,15.6557000,351.9290000,1206.0000000,6689.0000000,2.0600000
226,4.5960377,4.7440000,16.2166000,2340.0400000,1937.0000000,7649.0000000,2.1200000
227,3.6127710,4.1420000,19.3662000,5011.9200000,2344.0000000,8324.0000000,1.7100000
228,3.6714717,2.1490000,10.6780000,324.1140000,1182.0000000,5618.0000000,1.5400000
229,11.5350760,8.5559580,12.2158080,,,5479.3000000,2.4877100
230,0.8352406,1.0430000,6.4875000,5021.6300000,2345.0000000,6105.0000000,1.2400000
231,2.4919771,1.4338141,2.2187585,39.6452664,639.9817426,3948.0000000,0.4823880
232,,2.7267750,1.7107060,9.5212941,448.0162269,3773.0000000,0.5779830
233,25.5195307,6.6877451,2.9641461,45.6335702,662.8890748,5742.2200000,1.1732100
234,1.3812115,2.7372191,2.2402361,5767.3673643,2222.6145520,6711.0000000,1.7756799
235,2.3922703,9.0053425,3.5905923,18015.5142019,2954.8226210,6090.0000000,4.1956000
236,0.8315420,1.9855380,1.8816840,3776.6095365,1999.3796659,5824.0000000,1.1512000
237,2.6282553,2.0930597,0.9817044,955.7979966,1418.1144376,6282.0000000,1.1074300
238,3.4239436,1.9601023,1.7581475,294.3078003,1056.3800546,5626.0000000,0.8230190
239,10.9830420,3.7478987,2.5070075,62.2119369,716.2888325,5626.0000000,0.8230190
240,17.7264490,3.4404719,2.2616640,32.8605569,610.6445415,5626.0000000,0.8230190
241,40.7199388,4.2436925,3.2352713,47.1436550,668.3063106,5914.0000000,1.5595300
242,14.7741056,5.5040000,15.3936000,123.5220000,928.0000000,6053.0000000,1.2300000
243,79.3739596,5.3920000,2.1745400,3.0533100,368.0000000,5168.3300000,0.7700000
244,18.1663644,2.4640000,2.8044700,16.6472000,562.0000000,5572.9000000,1.1400000
245,105.5850893,11.6068811,2.5033335,8.0478580,429.5758177,5909.5700000,1.1142000
246,27.2149622,3.7190483,8.3475973,25.4860381,573.0537137,6270.0000000,0.9896670
247,19.1807264,3.9621084,2.4311768,32.9407734,611.0168649,5262.4000000,0.9379730
248,1.2124493,0.9984653,0.8794190,336.2098533,1092.1250255,3751.0000000,0.5180000
249,4.5541831,7.8146963,0.8887417,54.8401357,694.0557871,4280.0000000,0.6358120
250,41.4856125,6.6899368,12.5121956,271.1960170,1035.0005398,6354.0000000,3.4868701
251,13.7738265,2.9992376,1.8971927,67.2831271,730.4597521,5455.9600000,1.0182500
252,1.9142544,3.2560000,2.0442100,6105.3300000,2462.0000000,6734.0000000,1.5900000
253,5.0780325,1.2100353,2.6347763,8.1743139,431.2536440,3318.0000000,0.3341250
254,70.3607265,1.0325441,8.2807306,52.1124723,685.2596640,6308.0000000,2.0982201
255,91.6827832,9.7504857,3.2398550,5.9944903,399.0780255,5802.0000000,1.0181400
256,10.1944993,2.2648785,2.7392825,231.1087411,994.4291411,6082.0000000,1.3266100
257,14.6431900,2.5483426,3.4124800,391.2017546,1134.2791474,6516.0000000,2.0417800
258,4.1782656,1.6759040,2.1023854,13.9295288,492.7241583,3442.0000000,0.4044030
259,17.9453645,3.0740072,3.3839124,1.9952383,303.1226876,3442.0000000,0.4044030
260,13.8963960,3.5885605,2.4586343,52.3837065,686.1495861,5522.8700000,0.8881630
261,8.1213102,3.1040945,2.3157186,107.2089410,820.6868999,5522.8700000,0.8881630
262,3.9287851,1.8165271,2.3292790,376.4612937,1123.4398689,5668.1500000,0.9869430
263,27.3613778,4.0586418,6.4522449,0.8345555,243.7718547,3050.0000000,0.4412800
