period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
4.915385452,2.7757,226.0,1.46,1042.0,279.43,5772.0,0.956,0.99999976
0.504426087,1.6276,615.0,33.96,2339.0,7077.76,6043.0,0.901,0.99203473
52.6727624,3.039,248.0,1.64,521.0,17.45,6184.0,1.038,0.999998
1.00652785,1.3175,126.0,1.03,1815.0,2556.97,6089.0,0.889,0.99999964
0.566807422,5.148,26.1,1.13,2680.0,12227.82,5616.0,1.547,0.99999774
1.507761203,3.096,2770.0,31.77,1301.0,675.11,5069.0,0.818,0.9998627
1.028436523,1.8606,8100.0,72.77,1947.0,3400.48,6228.0,0.99,0.0103594605
18.0071438,5.401,80.8,1.05,799.0,96.25,6173.0,1.167,0.9999887
19.03723442,3.3882,401.0,5.74,1051.0,288.04,5248.0,2.892,1.0
4.7842093,2.947,390.0,2.14401,1267.0,428.772,6240.0,1.06,0.9999988
3.411758679,3.158,571.0,14.71,684.0,51.85,3995.0,0.561,0.9999999
34.2825595,6.989,2540.0,5.84592,708.0,41.8997,6145.0,1.19,0.9995882
7.82502168,2.186,521.0,1.2,494.0,14.05,3950.0,0.493,1.0
2.682814,0.987,1080.0,23.5198,1505.0,852.855,8528.0,5.28,1.0
25.30291816,4.4903,2110.0,3.95,535.0,19.39,5121.0,0.888,0.9999989
7.3723906,7.8217079,347.7876879,4.8405988,1540.775568,1331.92121,6083.0,2.5524099,1.0
282.029084,4.686,313.0,2.33,363.0,4.12,6886.0,1.287,0.9998425
5.16949729,4.5122,211.0,2.06,1309.0,694.32,6011.0,1.409,0.99999976
0.686994057,3.5252,2800.0,35.3,2063.0,4267.13,5780.0,1.0,0.99071586
6.2948747,1.878,16707.0,6.67951,487.0,9.34062,3584.0,0.53,1.0
4.0266483,2.312,754.0,1.90189,1065.0,213.735,5276.5,0.78,0.9999999
1.7318529,1.6919639,36359.43017,12.0299493,778.1172307,86.6365464,3394.0,0.615219,0.9999999
5.830149,2.618,1310.0,2.70505,774.0,59.7261,4451.0,0.72,1.0
1.3484961,2.4074261,18463.76367,15.8824638,1839.671304,2706.960623,6346.0,1.14759,0.9996327
4.25907841,4.513,28.1,0.7,1253.0,583.12,5560.0,1.316,1.0
3.75574267,2.2911,417.0,1.58,977.0,215.46,5311.0,0.788,0.9999999
1.8531628,2.019,34220.0,13.5946,1418.0,672.909,5355.0,0.68,0.9994873
28.8672107,3.782,347.0,1.51,493.0,14.0,5191.0,0.837,0.99999964
31.59115876,2.6431,1430.0,72.91,783.0,88.84,5178.0,2.295,0.9999938
3.3601377,1.413245,972.9589363,1.1843718,538.8593825,19.9261226,3551.0,0.374358,1.0
15.634183,2.888,12980.0,11.238,611.0,23.2536,5725.0,0.96,0.99997497
5.50811352,2.9516,40400.0,34.03,778.0,86.57,5188.0,0.624,0.5852392
25.36699067,5.9556,151000.0,56.02,665.0,46.09,6208.0,1.024,1.0352696e-12
5.5765364,2.3140477,642.4206976,4.5613031,1293.308487,661.1949258,6002.18,1.52031,1.0
1.360834768,1.4886,1570.0,7.24,1660.0,1792.47,6215.0,0.872,0.99999595
3.429078,1.795,13770.0,21.1656,1027.0,185.229,5654.0,1.85,1.0
5.186737262,0.8023,713.0,2.4,860.0,129.37,5230.0,0.777,1.0
0.933749106,4.256,186.0,3.22,2863.0,15822.49,6215.0,2.188,0.99999976
316.57747,14.64,269.0,1.47,255.0,1.01,5822.0,0.898,0.015410431
1.5057127,0.244,5373.0,12.1483,482.0,9.00759,4335.0,0.64,1.0
3.7260939,3.1192423,18231.03525,13.5887921,1160.457619,428.5861553,5736.0,0.9975,0.9999219
6.30558387,2.619,193.0,2.52,1125.0,378.9,4934.0,1.756,1.0
4.80912667,7.9331,134000.0,44.3,1270.0,615.74,6462.0,1.166,2.1462733e-11
2.352273912,1.7389,319.0,1.29,1019.0,255.03,4816.0,0.748,1.0
0.61496383,1.93053,358000.0,44.79,1460.0,1074.84,4509.0,0.663,5.970255e-21
426.942225,3.965,1210.0,2.32,187.0,0.29,5126.0,0.669,0.9999895
23.20579353,4.3243,343.0,5.86,1002.0,238.21,5460.0,3.231,1.0
9.08590495,2.0718,2120.0,6.28,861.0,130.1,5931.0,0.866,0.999998
